"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC4350156",1.73656977712118,1.76615473660432,1.7271843447403,1.66724535637812
"LOC4350158",3.69284536786365,3.71312514485116,3.71289162877742,3.77885818535026
"LOC4350164",5.31815417384114,5.07610753516733,4.45190579265995,4.54599388332208
"LOC4350166",8.00820811462412,8.14909234447283,8.10138947527356,8.04143246019174
"LOC4350169",2.47980192900871,2.43225689798101,2.68606181701563,2.69792468063371
"LOC4350170",8.9864682880861,9.03125987522791,8.96061612636369,8.98925308196434
"LOC4350171",10.5790100597312,10.550816180231,10.903892427437,11.0801496624471
"LOC4350172",5.11291138841029,5.11442425814751,5.2623670022441,4.77428701632472
"LOC4350174",6.99447680745725,6.59648999502753,7.28206152230671,6.798938659104
"LOC4350175",8.71582763217997,8.61138486636174,8.51373806476608,8.52472491750053
"LOC4350176",4.44579909355236,5.17383353315189,5.3993395661423,4.03549750373809
"LOC4350177",-0.28009861553811,-0.279902486575806,-0.279693634564765,-0.204181706375879
"LOC4350180",-1.72892484177704,-1.71546077559768,-1.72781907321544,-1.72975046127364
"LOC4350182",6.29053364850599,6.1200226995309,6.27397782761297,6.09041572557788
"LOC4350183",9.90690686846224,9.99289915797295,10.0552774180554,10.0519119118114
"LOC4350184",7.24249904841848,7.31417701692974,7.48101699360873,7.07936840444834
"LOC4350186",6.75288038633324,6.53653513649293,7.77545717664694,7.69739811921261
"LOC4350187",7.5752001971047,7.61978876775702,8.02001638936978,8.07295643458566
"LOC4350189",8.45565581590742,8.40083865599383,8.34325227120905,8.28627633738978
"LOC4350190",13.919585962506,14.0760634182302,13.6069113324132,13.3469430393477
"LOC4350193",7.14709701757288,7.20350434411399,6.75417137465167,7.16634731020164
"LOC4350194",10.8648515627972,10.7937720659026,11.3146286949184,10.9956481821362
"LOC4350197",15.3641299376385,15.3052447321669,16.1575358158601,16.191365053566
"LOC4350198",7.83148131200165,7.95099462827312,7.79489978101987,7.67166597233272
"LOC4350199",6.53574393246098,6.06360115244623,7.15054268732603,7.31498107352079
"LOC4350200",0,0,0,0
"LOC4350201",10.4870926121595,10.6318776248347,10.6271219006799,10.69468717448
"LOC4350204",10.3908098843068,10.3900605424073,9.74475504019852,10.5573424628261
"LOC4350205",4.41161494278566,4.46020222853399,5.01807624478268,4.86946988257021
"LOC4350206",1.96220471901151,1.98920270540318,2.0908370612944,2.09103026956246
"LOC4350207",4.69390156790545,4.35272087924523,5.75302061874103,6.20179754269598
"LOC4350208",10.4717109644322,10.6235993811808,10.5917837924973,10.5564004773531
"LOC4350209",10.5466805381319,10.6764871541684,10.4013691346469,10.4360706027464
"LOC4350212",0,0,0,0
"LOC4350213",3.24636001486173,3.33443587933083,3.74547030556947,3.65609643318466
"LOC4350215",6.32574022246899,6.09628396861335,6.24054941028859,6.10929250940802
"LOC4350216",5.40650356327925,5.59906235198919,3.97271313064274,3.92006954018543
"LOC4350217",13.7101199702026,13.7894636219819,10.5158707361584,10.7979393436677
"LOC4350218",9.72720876942618,9.65639302172297,9.61279293635476,9.58844834398135
