"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC4350046",9.15881301427777,8.99869860764893,9.14853562554588,9.02890860794985,9.06033484772532,9.1241332908315
"LOC4350047",6.95468103093848,6.97102744629494,6.92374317671818,7.21654667970436,7.02347181510597,6.9888168471464
"LOC4350049",9.07346494431697,9.11146214983594,8.94454530729626,8.11540081511448,8.22022113460485,8.1797605934325
"LOC4350051",7.4669291392407,7.67845541855852,7.62886978921694,6.83966576762153,6.46249777263662,6.77458971922098
"LOC4350053",12.0904228170768,11.2130768162259,11.1221585587713,11.2992147163735,10.6239149213087,10.9801961329006
"LOC4350054",15.806973743651,14.9786341881344,15.1067076970753,16.2862565319177,16.0843565585101,16.3507653874125
"LOC4350055",6.17895296783449,5.7656579598989,5.89570063468585,6.44484972544644,6.53720012874536,7.03427819613882
"LOC4350057",10.3564690029554,10.4638530192783,10.278266085842,9.36989983473014,9.24114749891718,9.19737243832472
"LOC4350060",5.98976292925921,5.79807345575299,5.67748704585454,5.59621924267174,5.44335505701319,5.82288964074685
"LOC4350061",7.50306099996661,7.19013826147128,7.28854344962561,8.48220520445638,8.45538383519466,8.55188027682416
"LOC4350062",2.07787335384301,2.18576130978172,2.14733039116141,2.0455649508977,2.19860156194349,2.2549384758155
"LOC4350063",10.016744747117,10.2880569935292,10.3065420676958,8.58436175687762,8.70321320825691,8.45098349756816
"LOC4350065",7.59896590958689,7.51534653299722,7.62520131084758,7.72735757796451,7.64687032120714,7.43969410187825
"LOC4350066",8.30243471397135,8.18725032899472,8.27040250277376,7.94989822648606,7.83997299356033,7.9537568412783
"LOC4350074",4.90671079977315,4.6739161823829,4.76279534454974,4.86859463987293,5.09628016915756,5.56409021949595
"LOC4350075",5.14130145822442,5.24741347280243,5.19795712233095,4.99108485068353,4.77453829658696,4.74055458305013
"LOC4350078",10.9595422390136,11.0674293455514,11.0937472379301,10.5275196826706,10.2744744519018,10.2805149727997
"LOC4350079",6.8463112569431,7.24916404916702,6.89250925162843,6.11173836029542,6.05779587274401,6.26331330175087
"LOC4350081",10.9301102775403,11.1344011183951,10.8723355466926,10.2212982533492,10.2252088156958,9.9969987746058
"LOC4350082",11.6834488296503,11.7833068766147,11.7842807122372,11.6101454783966,11.4485972886579,11.4745072809448
"LOC4350083",11.6069396520787,11.8405522087803,11.7951719787554,10.7966481719371,10.5334157308645,10.4522863350342
"LOC4350084",10.0371318378242,10.0075810798285,10.0319257654738,10.1286863171796,10.0475709389511,10.0147026179546
"LOC4350086",11.4401535399967,11.3048749334804,11.3011528176132,11.5617265637808,11.6600474530341,11.4746072315701
"LOC4350088",11.3845625406162,11.4893748555075,11.5873456270408,12.006932533732,11.9343822237201,11.8853974548513
"LOC4350092",3.11134989277262,3.38427421801652,2.95449744951477,2.77611209737222,2.79357151965015,2.86419996878093
"LOC4350095",3.23537139952307,3.39722566942009,3.19700567981975,3.29805792286354,3.0504422868047,3.23420777236441
"LOC4350096",8.67720772310328,8.84642067875069,8.71552735856701,8.80270705795613,8.77019407789211,8.56778830680497
"LOC4350097",9.59067472811589,9.49490905455393,9.62663381578787,9.69715404956618,9.70148920976642,9.98272509684206
"LOC4350098",11.9669622609901,11.9782036792545,11.9983093904759,12.0938523433175,11.9360959160384,12.03850242747
"LOC4350099",8.01590174152236,8.00437025995266,8.02927617706175,8.25807144713879,8.34967124303468,8.22481385812205
"LOC4350103",11.7590447530704,11.751332613194,11.591020087684,11.6994411290366,11.6764743958563,11.413348079825
"LOC4350105",11.582116003505,11.359136589473,11.3817276505572,11.4269402436083,11.3884791828332,11.239809060169
"LOC4350109",9.0211511631343,9.22256596274394,8.97800963812123,8.78608317932329,8.53218198007671,8.53893342796554
"LOC4350110",9.10840319342978,9.08765450317286,8.98652007118262,8.77923997293844,8.83779644882871,8.51733501109438
"LOC4350112",8.91336989631039,8.74296295500629,8.87236511334622,7.88254404702886,7.97288320453787,7.73604566008732
"LOC4350121",12.1298014682372,12.0872847631245,11.990260944105,12.1398304056539,11.899095640879,11.7672384905624
"LOC4350125",11.7674530117432,11.7671037740113,11.8140650311144,11.0638729833632,10.9549274103537,10.7716873659755
"LOC4350127",8.00848690391763,8.14811503379897,8.2851176757818,8.0715386992072,8.26762460929197,8.0393433098999
