"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,49,61,547,248,0,0,169,97
"ASV_144",0,29,37,51,11,0,20,57,61,65,9,14,22,29,36,74,29,0,14,7,13,31,16,60,95,64,30,49,48,0,26,0,16,0,26
"ASV_145",0,0,40,31,48,0,44,54,63,96,43,17,103,56,59,76,54,81,0,0,0,0,0,0,0,0,63,0,0,30,0,0,0,0,0
"ASV_146",53,38,46,50,24,28,29,13,39,34,29,30,38,32,28,20,13,0,37,23,32,35,22,37,41,21,26,62,22,18,15,19,30,19,23
"ASV_147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,60,45,40,83,14,32,37,56,58,61,113,85,40,55,52,108
"ASV_148",0,0,0,0,0,58,0,0,0,43,0,0,0,13,0,36,17,11,18,16,32,74,71,78,39,58,0,40,39,64,107,59,44,31,81
"ASV_149",33,48,82,49,49,12,38,60,29,78,44,43,24,44,28,31,14,18,30,11,22,12,9,52,24,27,15,11,3,15,12,22,16,12,0
"ASV_150",72,71,26,47,16,0,85,42,76,0,22,0,30,125,41,7,15,7,25,6,22,14,25,62,188,0,0,0,32,0,16,26,0,0,74
"ASV_151",10,5,0,16,0,18,16,35,37,0,7,17,18,13,9,0,0,0,0,0,62,16,22,63,51,0,0,50,22,15,5,17,45,64,384
"ASV_152",52,18,35,80,0,0,124,44,137,0,60,0,22,32,0,0,32,23,27,0,63,0,0,20,23,0,0,13,17,0,0,98,0,5,85
"ASV_153",0,111,119,0,0,33,0,27,12,66,22,15,140,167,8,7,110,9,14,9,0,0,5,0,0,46,0,39,0,6,4,0,23,18,90
"ASV_154",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,24,46,63,33,74,45,26,54,117,69,42,99,77,74,53,92,49
"ASV_155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,107,69,55,32,33,9,63,156,22,14,134,31,22,34,126,25
"ASV_156",0,27,20,0,0,0,12,0,18,8,0,7,0,7,0,5,34,0,59,68,77,35,77,48,45,41,58,37,43,52,58,73,42,43,55
"ASV_157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,76,68,61,47,40,16,26,141,37,68,166,53,43,39,31,57
"ASV_158",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,25,61,58,58,52,43,58,135,29,56,46,140,91,74,61,22,80
"ASV_159",49,76,31,40,40,10,37,77,63,0,90,0,68,34,61,49,27,37,0,0,15,28,16,27,60,0,0,0,0,0,28,38,0,0,18
"ASV_160",25,61,26,15,54,0,107,23,54,0,44,0,25,69,56,21,178,0,0,0,0,0,26,12,0,0,0,0,0,0,24,0,37,0,57
"ASV_161",94,38,0,0,29,0,115,71,101,0,19,0,24,23,20,27,0,24,68,0,46,81,0,0,78,0,0,0,25,0,45,89,0,0,0
"ASV_162",0,0,0,0,12,0,0,0,12,0,0,8,0,0,0,5,0,0,67,31,58,44,82,32,46,59,67,0,79,67,118,38,46,76,47
"ASV_165",42,78,28,26,22,0,62,65,24,166,7,92,36,50,31,84,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_166",0,48,0,217,201,0,85,15,135,0,37,0,0,24,66,8,0,0,33,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_167",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,114,619,0,0,0,0,0,0
"ASV_168",0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,33,69,73,55,62,39,49,12,30,57,33,48,73,52,23,54
"ASV_169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,54,19,0,6,34,42,313,46,100,0,34,40,8,142,96
