"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4348786",523.692741,528.558905,633.952715,1021.101551,861.538105,1522.450112,15031.7088134926,1.05338727737998,0.173843779897325,6.05939009150703,1.3663865405905e-09,8.80897059765791e-09
"LOC4324872",19.138031,10.461379,15.794257,26.296822,42.496228,35.15603,2286.18401744352,1.2365228655677,0.204251376581949,6.05392671648209,1.41356937205749e-09,9.09633567972033e-09
"LOC4349457",0.989404,1.176191,1.369734,2.546253,3.045672,2.747576,149.869343461599,1.27573202647232,0.21075169935219,6.05324668979499,1.4195522155124e-09,9.12761603694065e-09
"LOC4333167",0.069095,0.050687,0.036695,0.425055,0.934787,0.801732,28.1054044293717,3.89080533046363,0.644015443647865,6.041478304348,1.52708544270006e-09,9.78553465093807e-09
"LOC4349962",0.319085,0.366851,0.438042,1.146505,1.174003,1.233627,74.0848127823996,1.69122575965467,0.279982747456962,6.04046418936808,1.53671488675608e-09,9.84465536901375e-09
"LOC4337130",17.101272,15.2881,9.649273,41.302444,27.539472,55.635032,471.373350537511,1.60416071507809,0.265871352372204,6.03359745517961,1.60349211768609e-09,1.02562986395393e-08
"LOC4352859",29.199845,21.557464,26.225551,38.961125,55.315342,66.323533,1132.71855706483,1.0996048740641,0.182556174364607,6.02337816231807,1.70813705076921e-09,1.09141908730824e-08
"LOC107277839",0.026201,0,0.018727,1.227723,1.468147,1.48896,33.0008878306449,6.54443420363217,1.08824360262295,6.01375848923752,1.81270511864774e-09,1.15430489266773e-08
"LOC4343844",2.284449,2.939593,2.25593,5.807791,5.41186,4.395398,323.217980747869,1.10371101617552,0.183590870772473,6.01179683680117,1.83478175136552e-09,1.16653693637222e-08
"LOC4332167",0.100373,0.575762,0.347444,3.941868,12.866667,7.323219,149.696574931078,4.58396009033873,0.763082302662333,6.0071634138882,1.88797205359766e-09,1.19910543544657e-08
"LOC4324796",0.794746,1.072416,1.152624,2.756412,2.330662,3.214597,123.110300363039,1.48993218009047,0.24804461159745,6.00671052878372,1.89325092368991e-09,1.20214538359582e-08
"LOC4335083",0.098723,0.096589,0.147421,0.630886,0.806044,0.727266,35.2689660359673,2.6545099943582,0.442973673199073,5.99247800707394,2.06667393236637e-09,1.30716189015803e-08
