"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4348346",1.393607,1.712179,2.325387,3.77152,89.2523295057476,1.07383224843262,0.434759679479333,2.4699444293423,0.0135134042595348,0.0405837150224555
"LOC4330357",1.752391,1.322151,2.837369,6.230009,38.0971360822371,1.64402369266107,0.666611091636799,2.4662411311284,0.0136539382917477,0.0409231612348918
"LOC4326919",4.870657,3.864271,7.860705,25.174099,307.604240337381,2.01974499404976,0.819194222582023,2.4655264140947,0.0136812087519576,0.0409827963058842
"LOC4325571",0.488741,0.054486,1.222428,2.00815,19.0973409600466,2.60496478612306,1.05696126801686,2.46457922815911,0.0137174233227987,0.0410636155561846
"LOC4341658",22.79664,32.485112,30.718307,79.697946,376.018931066544,1.10061787969995,0.446656929512317,2.46412359683227,0.0137348740049183,0.041104785805808
"LOC4338950",3.533467,4.26858,4.621146,10.619416,217.495268835958,1.07066065440089,0.435479494049549,2.45857880573149,0.0139488159053205,0.0416665355398348
"LOC112939003",0,0,0.073541,0.313988,4.6806361293877,5.66634779651567,2.30502476502385,2.45825896645281,0.0139612459384971,0.0416784965425937
"LOC4333830",0.443389,0.308043,1.2183,0.841233,33.0096132537725,1.52164704824425,0.619012481520479,2.45818475987209,0.0139641312536125,0.0416784965425937
"LOC4349690",0.366284,0.878055,1.641115,1.437388,50.9469550360608,1.42698650998035,0.580798449997233,2.45693925317319,0.0140126379170185,0.0417898026571525
"LOC107278346",0.61298,0,2.676793,1.804072,15.7322938963828,3.03100979838532,1.23474277913436,2.45477021579365,0.0140974668893583,0.0419920928926988
"LOC4348230",1.910143,1.585699,3.543225,3.142729,68.7556933234305,1.00627196332704,0.410244128060889,2.45286134400853,0.0141724956208661,0.0421873202756349
"LOC107276792",0.662462,0.942433,2.804136,2.7931,19.1513319364155,1.89900888730303,0.774558417327496,2.45173100546153,0.0142170897901046,0.0423087347481454
"LOC9268395",0.124941,0.673898,1.095529,5.207031,14.8879867977267,3.12116885983828,1.27428086147384,2.44935708775248,0.0143111489242938,0.0425203493296572
"LOC4324219",1.641843,2.382664,4.237494,3.691831,66.5783631707326,1.06256199142466,0.434390588349313,2.44609809678981,0.0144411702627636,0.0428493978983081
"LOC4324947",0.202838,0.297213,0.759938,0.532492,36.1658657401903,1.45671432128832,0.595611266593668,2.44574675294399,0.014455249564831,0.0428854501701211
"LOC4324116",0.413012,0.459367,0.793956,1.701594,35.1446840750366,1.6390735270335,0.670673656231652,2.44392114078708,0.0145286018356567,0.0430743305256907
"LOC4324856",4.481019,2.766164,6.396958,8.882283,72.5655931937023,1.16140236091716,0.475349130184455,2.4432617778568,0.0145551753027179,0.0431358587717045
"LOC4344010",1.044488,1.353146,2.184396,2.632141,61.5102249968945,1.08575172096666,0.445520966279896,2.43703844071066,0.0148081050888338,0.043803698834492
"LOC4352468",1.127716,1.12345,2.758459,1.792699,67.9206407801443,1.08991351163598,0.447259643244934,2.43686978715203,0.0148150131059531,0.043818303363663
"LOC107277455",0.258713,0.14456,1.375027,0.549149,17.8329923837987,2.3000084606747,0.945084406625018,2.43365401497654,0.0149472749064237,0.044156625431108
"LOC4351534",2.661309,2.37825,5.292061,4.563561,60.1910985283213,1.04812226487866,0.431345819713828,2.42988854180625,0.0151034666820756,0.0445539672315603
"LOC4345515",6.939659,6.108001,11.80678,58.046058,536.69251557715,2.52227340347741,1.03802383722723,2.42988004034178,0.0151038209429348,0.0445539672315603
"LOC4350840",0.557527,0,1.798895,4.517612,9.67178566548224,3.60277539815139,1.48278324529295,2.42973840552104,0.0151097240231305,0.0445654675253728
"LOC107277982",0.479508,0,2.892975,1.245819,14.6523334309601,3.16130855899763,1.30235030359328,2.42738727842682,0.0152080119444074,0.044801872208826
"LOC4344100",1.03982,0.845351,1.466461,3.40348,54.5292362881845,1.4641677877599,0.603637968845342,2.42557271630975,0.0152842534638514,0.0449978822248023
"LOC9271995",0.153254,0.253988,0.704214,1.173441,14.7717571793701,2.27664651091463,0.940540768887168,2.42057185209347,0.0154961165181915,0.0455061118285581
"LOC4343310",0.835041,0.326868,1.812659,1.252081,53.3600532544236,1.47095052125603,0.607818039580443,2.42005078077541,0.0155183398381769,0.0455591244714363
"LOC4338828",0.547082,0.431878,1.612702,1.114936,28.7874811473331,1.56005109332622,0.647085976441089,2.41088688385175,0.0159137831796237,0.046597015861
"LOC4331834",3.436723,4.241649,5.47681,93.91824,452.055958709258,3.79712248577648,1.57585524960614,2.40956298919301,0.0159716387678016,0.0467233479900702
"LOC9271655",0.864645,0.453112,4.094935,1.028008,34.5122438085843,2.03862099776214,0.847220297205011,2.40624664504329,0.01611737907752,0.0471001168546928
"LOC107280693",2.621837,2.312563,4.316169,6.576574,52.4370970154123,1.21532632788984,0.505659837385426,2.40344642393161,0.0162413467027207,0.0474000867998936
"LOC9268288",2.533307,1.355485,3.37448,4.536065,96.2886798441754,1.10401113745234,0.459808520244644,2.40102366277367,0.0163492792376645,0.0476525334676187
"LOC4343582",0.15365,0.338034,1.555111,0.832247,14.2861685452728,2.38139218407169,0.9939730404774,2.39583176514316,0.0165826995576813,0.0482127840023446
