"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4332063",0.987193,1.567076,1.194962,0.799497,52.7867318987904,-0.288154890937457,0.51444326695009,-0.560129579780102,0.575391055628457,0.720957469555201
"LOC107282074",2.659941,2.07636,2.01499,3.348538,64.0237237054307,0.27344909469389,0.488313776577518,0.55998644275497,0.575488685015803,0.72100735613337
"LOC4341991",1.66823,2.066886,1.994251,2.149178,62.7074932031176,0.236058422587416,0.421552374074976,0.559974126833957,0.575497085694538,0.72100735613337
"LOC4346258",2.17585,1.439281,1.533841,1.241086,39.7749872771255,-0.308455825063612,0.550884237822027,-0.559928572803465,0.575528158561549,0.72100735613337
"LOC4345071",11.650913,8.329565,10.63107,10.478549,201.498977078786,0.163840385455886,0.292652499914278,0.559846184481176,0.575584358486182,0.721037133323376
"LOC4347204",97.484676,96.312817,93.344135,97.711147,2921.08013469799,0.0680351606753712,0.121543340814505,0.559760495469712,0.575642812675206,0.721069730926128
"LOC4337072",0.973533,1.868289,1.060311,1.013561,27.5368019110195,-0.378101996606743,0.675604277479118,-0.559650092828829,0.575718129812322,0.721091372498753
"LOC4330481",3.145753,3.550209,2.95695,2.524641,80.0945207151498,-0.209063145112219,0.373572404349012,-0.559632196271385,0.575730339356002,0.721091372498753
"LOC4338659",6.134105,6.888679,6.725587,7.199908,94.5592966716967,0.192612348700671,0.344220914386384,0.559560272634876,0.575779408952474,0.721091372498753
"LOC4332427",63.523193,63.072879,61.798356,63.231651,1802.3620643222,0.0706597460257403,0.12628071905623,0.559545008563637,0.575789823054485,0.721091372498753
"LOC107279587",0.18134,0.240385,0.29506,0.240954,14.483202820516,0.466297690870795,0.834102694626269,0.559041103541485,0.576133668434977,0.721481347883003
"LOC4344369",0.360847,1.05052,0.479201,0.506901,24.0633289370234,-0.442859253360332,0.792433503771631,-0.558859830197132,0.576257386080392,0.721559238022092
"LOC4327623",2.972496,3.788698,3.795501,3.578556,79.7403147199318,0.212689234295835,0.380580447860091,0.558854863647709,0.576260775888106,0.721559238022092
"LOC4334104",0.346267,0.300693,0.23197,0.703439,10.1182056611314,0.619059047393945,1.10808766902349,0.558673347515452,0.576384672137418,0.721673729550668
"LOC4324092",1.861403,2.412133,1.417676,2.05158,133.711297359532,-0.200221689530754,0.358466277295772,-0.558550977350514,0.576468204611113,0.721701744248813
"LOC4325322",20.828989,22.268335,17.797115,19.790029,467.085563792486,-0.105813728771034,0.189445149336939,-0.558545463641502,0.576471968520428,0.721701744248813
"LOC4324738",11.277566,11.454601,11.357562,12.464164,150.09411131848,0.156981857613882,0.281108355991232,0.558438958743647,0.576544675897005,0.721739694700803
"LOC4340732",26.350847,30.903315,41.565671,20.03514,689.805207902033,0.185251405064069,0.331750410852336,0.558405955212292,0.576567207195653,0.721739694700803
"LOC4330788",12.655417,11.273918,5.507997,13.206329,188.774742887945,-0.249855262419236,0.447547816240473,-0.558276129058321,0.576655842705492,0.721810007368044
"LOC9268718",0.654572,1.017171,0.740001,0.486351,24.2615217436528,-0.384753661861734,0.689401871391294,-0.558097791474305,0.576777608635905,0.721921779699492
"LOC107277571",15.638982,11.804848,14.149296,14.84647,171.519598028786,0.165614100590639,0.296793427385875,0.558011348328534,0.576836634936605,0.721955016018101
"LOC4341537",19.971772,18.330396,18.676672,14.268708,267.360103365581,-0.139482672138422,0.250097913929949,-0.557712257358094,0.577040886323793,0.722133856507444
"LOC107279931",2.047716,1.526754,1.341113,1.33202,28.690768691661,-0.339361938100516,0.608495047928926,-0.557706984231948,0.577044487685479,0.722133856507444
"LOC4344732",26.426819,25.835184,26.60181,26.636052,301.443087769506,0.115947894902542,0.208004121519736,0.557430756926328,0.577233156131424,0.722322764483287
"LOC107276435",2.126684,1.958154,2.793131,1.884025,52.2133944723375,0.267637650457356,0.48018015162999,0.557369248913872,0.577275171216228,0.722322764483287
"LOC4346949",20.413038,17.694673,17.34553,15.890549,425.908426574092,-0.111911059777366,0.200793770648221,-0.557343285183024,0.577292907034747,0.722322764483287
"LOC107278690",0.159168,0.320302,0.068553,0.174729,5.63474960078818,-0.769637426557142,1.381265772159,-0.557197204238364,0.577392699678177,0.722406971972139
"LOC4337378",18.364872,22.095235,18.965237,22.863797,257.023516118084,0.142169440012552,0.255283306810328,0.556908486453375,0.577589956076568,0.722600286698883
